"title","latitude","longitude"
"Ash",37.90488105,-84.36298972
"Ash",37.90492303,-84.3633318
"Ash",37.90497193,-84.36294045
"American Chestnut",38.091102610377675,-78.49302878610649
"Hemlock",37.79575963042471,-83.65554294556719
"Other",37.7969776885936,-83.65411877639932
"Hemlock",37.79282747305724,-83.65503558896822
"Hemlock",37.79565460517797,-83.65570144735617
"Other",37.79553273230586,-83.6553093419258
"Other",37.792334868607846,-83.6552575417642
"Hemlock",37.79282747305724,-83.65503558896822
"Other",37.79559622522238,-83.65529811017555
"American Chestnut",42.92106652170692,-73.81214205182512
"American Chestnut",42.921015769283215,-73.8125111908408
"Other",35.94492745123426,-83.93864591613779
"Other",35.94482976015279,-83.93882160082826
"Other",35.94435932583729,-83.93948997378716
"Other",35.94428791202227,-83.93951076090703
"Other",35.944249606724775,-83.93936617307732
"Other",35.9445409197695,-83.93895822584996
"Other",35.94453790228436,-83.93874155365297
"Other",35.94803258541662,-83.94054288724679
"White Oak",37.7715009358132,-84.63057009511127
"Other",35.961378277312924,-83.91681307003266
"Hemlock",35.961785302530934,-83.91622055329746
"American Elm",37.78711935611138,-84.61358759054524
"Hemlock",41.822755935998465,-86.28325190364194
"Ash",37.76828643403739,-84.63165680885746
"White Oak",37.77002257764131,-84.63003591642214
"Other",37.76821137409449,-84.63106906980707
"Other",37.772538531606806,-84.62910778828396
"Other",37.77262000370563,-84.62908666588797
"Ash",37.768147503992324,-84.63108700707986
"Other",37.768147503992324,-84.63108700707986
"Other",35.948047014741604,-83.94203350729377
"Other",41.87105830297048,-88.09729280889788
"Other",35.94807754929271,-83.94187022598611
"Other",35.427977344985514,-83.82783690475284
"American Chestnut",44.45291191,-73.18984047
"Hemlock",35.427977344985514,-83.82783690475284
"Other",35.427977344985514,-83.82783690475284
"American Chestnut",40.32975660640777,-74.93925388909405
"White Oak",35.791246430050386,-82.46681967757871
"Other",37.979951179968275,-85.83541657151154
"White Oak",37.979802067032765,-85.83554375312458
"Other",35.94692351765553,-83.93982550137112
"Other",37.247211457002315,-93.31088104189753
"Hemlock",36.13674298863498,-81.89531721182344
"Hemlock",36.13663423344133,-81.89515946440575
"Other",38.04669174228258,-84.49864215808155
"American Chestnut",43.2051845826611,-73.76682814217523
"American Chestnut",40.330137563906916,-74.94265099063044
"American Chestnut",40.3301877295974,-74.9426204805029
"American Chestnut",40.33114129681171,-74.9426289462251
"American Chestnut",35.212371619451055,-82.59682131938878
"Other",33.59463346193879,-112.22625467005393
"Ash",35.95696013424169,-83.86831152260663
"Other",38.05631498809723,-84.50747572824778
"Other",38.057015547564305,-84.50746349066915
"Other",35.07797786037911,-85.06643065259333
"American Chestnut",38.31194379836163,-79.38355042606534
"Other",30.624515983175037,-87.91334118653054
"Other",30.56967107581959,-84.93946300827426
"Other",30.569675266771174,-84.93950701326591
"White Oak",30.569618269829608,-84.93988336071831
"White Oak",30.610679537086384,-84.91255617708426
"White Oak",30.610788376099066,-84.91258526228826
"White Oak",30.61146588533242,-84.91316394888322
"American Chestnut",38.00210184421204,-78.47859405919768
"American Chestnut",35.38655448242592,-82.89575720213622
"American Chestnut",35.497865905086975,-82.59372001521531
"American Elm",40.62333238780556,-76.96125408641711
"Other",42.4440445,-71.19922622
"American Chestnut",35.96597347,-82.46676426
"Other",30.3936122590959,-88.88607071720891
"Ash",38.27026092916566,-84.99009791769552
"Other",30.392857049620144,-88.8845034689539
"Other",30.396189861959215,-88.88666985564761
"Other",38.63392446659378,-90.28710993946557
"American Chestnut",37.8362114914114,-78.97295376293265
"American Chestnut",39.65081637917959,-79.83023293992221
"American Elm",37.90142320100023,-84.36069544412601
"American Elm",37.901773690281345,-84.3613431976031
"Hemlock",33.841573381828,-84.3865138851892
"Other",33.84118915538661,-84.38735970303824
"American Chestnut",35.465229917350655,-82.6294491347695
"American Chestnut",35.4600408068257,-82.63707423590368
"American Chestnut",35.4600408068257,-82.63707423590368
"American Chestnut",35.46125827826137,-82.64379702516146
"American Chestnut",35.457647438194094,-82.63846303344019
"American Chestnut",42.91427521039072,-73.80466279580612
"Hemlock",35.396643527816416,-85.61723970816062
"Other",38.01421968735569,-84.51062522836449
"Hemlock",37.85481225999999,-83.97121276999997
"Other",37.80510411135648,-83.654749598432
"Other",38.01407916474902,-84.50989390731277
"Other",38.01400532018208,-84.51011552483263
"Ash",40.81190974455402,-77.84325376160241
"Ash",40.81190974455402,-77.84325376160241
"Ash",40.811579078473905,-77.84324781045116
"American Chestnut",37.425905093585534,-78.62300402492156
"American Chestnut",37.50411868564552,-78.86627468287838
"American Chestnut",37.50519467055565,-78.86678882881893
"Other",42.420187834689784,-71.46945644176702
"American Chestnut",35.32738412,-86.05242661
"Other",37.875502629999986,-84.11470000999998
"American Elm",37.875502629999986,-84.11470000999998
"Other",37.875502629999986,-84.11470000999998
"American Chestnut",35.45964392371053,-82.6362893544907
"American Chestnut",35.50542935732334,-82.59686876096073
"American Chestnut",35.48267638779756,-82.60258907459918
"American Chestnut",35.481790378722806,-82.60281044066194
"American Chestnut",35.4506788077163,-82.6519714762295
"American Chestnut",33.78310926456827,-86.8161924788408
"American Chestnut",35.45416517652148,-82.69468121238303
"American Chestnut",35.450325971502295,-82.70930151462807
"American Chestnut",35.45114735610359,-82.70924946300937
"American Chestnut",35.447459695893755,-82.71718125798061
"American Chestnut",35.443187439847215,-82.71921261221424
"Other",35.94831465230888,-83.94124740625938
"Other",40.62212069,-76.18970586
"American Chestnut",39.20946819450529,-77.2143388196359
"American Chestnut",41.01035887279469,-75.05241082452147
"White Oak",35.95062969140111,-83.96787683738634
"Ash",40.33108517823791,-75.49064032490999
"American Chestnut",40.330145936897985,-75.49346646194903
"American Chestnut",40.331009193999606,-75.49405306674689
"American Elm",43.22155867241623,-77.05944975845242
"Ash",43.22123286783995,-77.05979467376793
"American Chestnut",35.39766331206578,-82.77429244488735
"Other",38.019850576507814,-84.51280813478422
"Other",38.01975876201905,-84.51283161222217
"Other",38.01975876201905,-84.51283161222217
"Other",38.01975876201905,-84.51283161222217
"Other",38.01975876201905,-84.51283161222217
"Other",38.01975876201905,-84.51283161222217
"American Elm",42.534945686387395,-71.55381602241802
"Other",38.01975876201905,-84.51283161222217
"Other",38.01975876201905,-84.51283161222217
"Other",38.05542541671363,-84.52787476599637
"Other",38.05542541671363,-84.52787476599637
"Other",38.05542541671363,-84.52787476599637
